dataset,method,k value,train,test
iris,k-means,1,141.138172,141.138172
iris,k-means,2,62.14368828,35.26775934
iris,k-means,3,7.817456892,4.719568708
iris,k-means,4,6.613823275,3.79352817
iris,k-means,5,6.293556862,2.821164182
iris,EM,1,,-6.30563
iris,EM,2,,-3.54901
iris,EM,3,,-2.82469
iris,EM,4,,-2.88709
iris,EM,5,,-2.90235
glass,k-means,1,195.3642213,86.77964488
glass,k-means,2,118.2037407,62.01038389
glass,k-means,3,77.12426899,59.17952347
glass,k-means,4,75.33518239,36.16326479
glass,k-means,5,66.13662059,28.73781941
glass,EM,1,,-5.53295
glass,EM,2,,1.11128
glass,EM,3,,-1.63624
glass,EM,4,,0.345
glass,EM,5,,2.04093
