date,outlook,wind,playTennis
1,Sunny,Weak,No
2,Sunny,Strong,No
3,Overcast,Weak,Yes
4,Rain,Weak,Yes
5,Rain,Weak,Yes
6,Rain,Strong,No
7,Overcast,Strong,Yes
8,Sunny,Weak,No
9,Sunny,Weak,Yes
10,Rain,Weak,Yes
11,Sunny,Strong,Yes
12,Overcast,Strong,Yes
13,Overcast,Weak,Yes
14,Rain,Strong,No
15,Sunny,Strong,Yes
16,Overcast,Strong,No
17,Overcast,Weak,Yes
18,Rain,Weak,No
19,Sunny,Weak,No
20,Rain,Strong,Yes
21,Sunny,Weak,Yes
22,Overcast,Weak,No
23,Rain,Weak,Yes
24,Sunny,Strong,Yes
25,Overcast,Weak,No
26,Sunny,Strong,
27,Overcast,Weak,
28,Rain,Weak,
